S_TICKER,S_COMPANY_NAME
MMM,Company for MMM
AXP,Company for AXP
AMGN,Company for AMGN
AMZN,Company for AMZN
AAPL,Company for AAPL
BA,Company for BA
CAT,Company for CAT
CVX,Company for CVX
CSCO,Company for CSCO
KO,Company for KO
DIS,Company for DIS
GS,Company for GS
HD,Company for HD
HON,Company for HON
IBM,Company for IBM
JNJ,Company for JNJ
JPM,Company for JPM
MCD,Company for MCD
MRK,Company for MRK
MSFT,Company for MSFT
NKE,Company for NKE
NVDA,Company for NVDA
PG,Company for PG
CRM,Company for CRM
TRV,Company for TRV
UNH,Company for UNH
VZ,Company for VZ
V,Company for V
WMT,Company for WMT
DOW,Company for DOW
